;ISBN 13;Book title;Author;Nº of pages;Publication date;Rating;Nº of ratings;Nº of reviews
6823;9781928832430;Aquinas's Shorter Summa: Saint Thomas's Own Concise Version of His Summa Theologica;Thomas Aquinas;412;2005-12-01;4,14;213;8
6824;9780385090025;Saint Thomas Aquinas;G.K. Chesterton;167;1974-01-15;4,14;2987;175
6825;9780870610639;Summa Theologica  5 Vols;Thomas Aquinas;3020;1981-01-01;4,12;2734;84
6826;9780140436327;Selected Writings;Thomas Aquinas;841;1998-06-25;3,91;626;22
6827;9780192835857;Selected Philosophical Writings;Thomas Aquinas;496;1998-08-20;3,86;238;9
6828;9780268018498;Treatise on Happiness;Thomas Aquinas;224;1984-01-01;3,83;76;3
6829;9780743202558;New Jewish Wedding  Revised;Anita Diamant;288;2001-03-06;3,96;694;64
6830;9780805211160;How to Be a Jewish Parent: A Practical Handbook for Family Life;Anita Diamant;352;2000-09-05;3,93;52;5
6831;9780224064736;Every Second Counts;Lance Armstrong;246;2004-07-01;3,52;274;28
6832;9780374517885;The Collected Stories of Isaac Bashevis Singer;Isaac Bashevis Singer;624;1983-08-01;4,37;1665;92
6833;9783491757103;Der Golem;Isaac Bashevis Singer;64;2001-02-01;3,75;2;0
6834;9781931082631;Collected Stories III: One Night in Brazil to The Death of Methuselah;Isaac Bashevis Singer;915;2004-07-08;4,61;23;4
6835;9780374506803;The Slave;Isaac Bashevis Singer;320;1988-10-01;4,18;2040;150
6836;9781931082617;Collected Stories I: Gimpel the Fool to The Letter Writer;Isaac Bashevis Singer;832;2004-07-08;4,49;63;8
6837;9780590321143;Blind Flight;Hilary H. Milton;122;1982-12-01;3,63;25;5
6838;9780531045428;Tornado!;Hilary H. Milton;147;1983-01-01;3,6;10;3
6839;9781595550552;From the Age of Discovery to a World at War (America: The Last Best Hope #1);William J. Bennett;573;2006-05-23;4,24;1069;132
6840;9780679728269;Democracy in America Volume 2;Alexis de Tocqueville;506;1990-08-11;4,17;316;19
6841;9780226805276;On Democracy  Revolution  and Society;Alexis de Tocqueville;402;1982-09-15;4,12;25;0
6842;9780691054957;The Two Tocquevilles  Father and Son;R.R. Palmer;254;1987-04-01;2,0;1;0
6843;9780380972333;The Iron Dragon's Daughter;Michael Swanwick;424;2012-02-28;3,69;2530;182
6844;9781570627484;The Book of Five Rings;Miyamoto Musashi;144;1993-04-13;4,07;192;10
6845;9781590302484;The Book of Five Rings;Miyamoto Musashi;166;2005-01-11;4,07;926;74
6846;9780618640140;The Lord of the Rings Sketchbook;Alan  Lee;192;2005-10-19;4,27;9853;72
6847;9781932234299;Birthday (Ring  #4);Kōji Suzuki;216;2006-12-12;3,67;866;37
6848;9784770028013;The Book of Five Rings;Miyamoto Musashi;157;2002-03-01;4,07;455;43
6849;9780525949770;The Deception of the Emerald Ring (Pink Carnation  #3);Lauren Willig;400;2006-12-01;3,91;8615;499
6850;9781569708842;Only the Ring Finger Knows: The Ring Finger Falls Silent (Only the Ring Finger Knows #3);Satoru Kannagi;250;2006-10-26;4,04;352;12
6851;9781569708859;Only the Ring Finger Knows: The Left Hand Dreams of Him (Only the Ring Finger Knows  #2);Satoru Kannagi;242;2006-07-05;3,94;529;17
6852;9781579905088;1000 Rings: Inspiring Adornments for the Hand;Marthe Le Van;416;2004-08-01;4,23;82;9
6853;9780752861746;The Postman Always Rings Twice;James M. Cain;116;2010-09-09;3,8;23157;1287
6854;9780786855100;The Ring Bearer;Laura Godwin;32;2006-02-20;3,44;17;2
6855;9781594720352;Legend of the Five Rings RPG;Rich Wulf;318;2005-06-06;3,78;169;6
6856;9780812695458;The Lord of the Rings and Philosophy: One Book to Rule Them All;Gregory Bassham;240;2003-08-04;4,28;4913;40
6857;9781400051731;The Ruby Ring;Diane Haeger;371;2005-04-05;3,7;1070;70
6858;9781569709047;Only the Ring Finger Knows: The Lonely Ring Finger (Only the Ring Finger Knows  #1);Satoru Kannagi;210;2006-03-28;3,99;925;37
6859;9780099448921;The Rings of Saturn;W.G. Sebald;304;1995-07-01;4,26;419;50
6860;9781569709801;Only the Ring Finger Knows;Satoru Kannagi;208;2004-08-01;4,1;3299;57
6861;9781593070540;The Ring  Volume 1;Misao Inagaki;304;2003-11-25;3,63;389;32
6862;9780340774779;The Road To War  1933 39;Andrew      Hunt;128;2000-04-01;0,0;0;0
6863;9781421509570;The Drifting Classroom  Vol. 5 (Drifting Classroom);Kazuo Umezu;192;2007-04-17;3,87;388;15
6864;9781421507224;The Drifting Classroom  Vol. 1;Kazuo Umezu;190;2006-08-08;3,79;1535;107
6865;9781421509587;The Drifting Classroom  Vol. 6 (The Drifting Classroom);Kazuo Umezu;192;2007-06-19;3,87;366;13
6866;9781421509594;The Drifting Classroom  Vol. 7 (The Drifting Classroom);Kazuo Umezu;192;2007-08-21;3,92;343;11
6867;9781421507231;The Drifting Classroom  Vol. 2 (Drifting Classroom);Kazuo Umezu;188;2006-10-10;3,98;724;34
6868;9781421509563;The Drifting Classroom  Vol. 4 (Drifting Classroom);Kazuo Umezu;192;2007-02-20;3,91;412;20
6869;9780415266710;The Franco-Prussian War;Michael Eliot Howard;532;2001-11-11;4,09;202;13
6870;9780812974430;My Uncle Napoleon;Iraj Pezeshkzad;509;2006-04-11;4,16;790;113
6871;9780812967111;Hadji Murad;Leo Tolstoy;153;2003-07-08;3,84;176;32
6872;9780143104933;Shahnameh: The Persian Book of Kings;Abolqasem Ferdowsi;886;2007-03-01;4,51;246;21
6873;9780744004441;Killer 7 Official Strategy Guide;Brady Games;128;2005-07-08;4,0;2;0
6874;9780744006452;Castlevania: Curse of Darkness Official Strategy Guide;Brady Games;176;2005-10-28;3,7;10;0
6875;9780744004410;World of Warcraft Atlas;Brady Games;192;2005-09-20;4,09;245;5
6876;752073003227;Manhunt Official Strategy Guide;Tim Bogenn;175;2003-11-25;4,0;4;0
6877;9780752848372;The Road to Jerusalem (The Knight Templar  #1);Jan Guillou;320;2002-12-05;4,0;4406;160
6878;9780060730673;Buddhism: A Concise Introduction;Huston Smith;256;2004-12-14;3,9;418;44
6879;9781591810087;Cleansing the Doors of Perception: The Religious Significance of Entheogenic Plants and Chemicals;Huston Smith;173;2003-09-12;4,01;194;11
6880;9780394755663;I'll Be Home Before Midnight and I Won't Get Pregnant;Anthony E. Wolf;288;1988-05-12;0,0;0;0
6881;9780312422301;Beneath the Wheel;Hermann Hesse;192;2003-07-01;3,85;8494;289
6882;9781598160123;Love Mode  Vol. 3;Yuki Shimizu;184;2006-07-03;4,15;585;14
6883;9781598160109;Love Mode  Vol. 1;Yuki Shimizu;192;2005-11-08;3,93;1417;41
6884;9781598160147;Love Mode  Vol. 5;Yuki Shimizu;192;2007-05-01;4,32;582;10
6885;9781598160116;Love Mode  Vol. 2;Yuki Shimizu;204;2006-03-07;4,23;768;18
6886;9781598160154;Love Mode  Vol. 6;Yuki Shimizu;192;2007-08-01;4,23;441;7
6887;9780099452249;Balzac And The Little Chinese Seamstress;Dai Sijie;172;2002-04-17;3,64;223;22
6888;9781406506587;Lost Illusions (La Comédie Humaine);Honoré de Balzac;656;2006-05-01;4,16;6422;161
6889;9780140442373;The Black Sheep;Honoré de Balzac;339;1976-05-27;3,99;1483;68
6890;9780140442328;A Harlot High and Low;Honoré de Balzac;554;1985-09-26;4,06;1546;64
6891;9781425462215;The Unknown Masterpiece;Honoré de Balzac;48;2005-12-08;3,87;11;3
6892;9781419163869;The Girl With The Golden Eyes;Honoré de Balzac;72;2004-06-17;3,35;801;56
6893;9782868050137;Le Chef-D'Œuvre Inconnu;Honoré de Balzac;49;1998-01-19;3,87;10;0
6894;9780140442052;Cousin Pons;Honoré de Balzac;336;1978-05-25;3,98;942;48
6895;9781584230700;The Medium is the Massage;Marshall McLuhan;160;2001-08-01;3,94;12098;295
6896;9780415162456;Essential McLuhan;Marshall McLuhan;416;1997-06-07;4,05;8;0
6897;9781584230731;Understanding Media: The Extensions of Man;Marshall McLuhan;616;2003-11-01;4,12;120;11
6898;9780618470228;The Best American Sports Writing 2006;Michael     Lewis;416;2006-10-11;3,75;84;5
6899;9781559211567;Kinfolk;Pearl S. Buck;408;2004-01-01;4,19;496;41
6900;9780521639897;Pearl S. Buck: A Cultural Biography;Peter Conn;500;1998-01-28;4,17;101;11
6901;9781559210911;The Mother;Pearl S. Buck;304;2004-01-01;4,04;1783;93
6902;9783453190146;Glamorama;Bret Easton Ellis;832;2010-02-22;3,46;46;0
6903;9782264031914;Glamorama;Bret Easton Ellis;537;2001-02-15;3,46;56;5
6904;9780451221254;Bright Lights  Big Ass;Jen Lancaster;380;2007-05-01;4,06;28940;1632
6905;9780515141658;Morrigan's Cross (Circle Trilogy  #1);Nora Roberts;321;2006-08-29;4,14;46146;1158
6906;9780373285433;Rebellion (The MacGregors  #0.1);Nora Roberts;395;2006-11-21;3,92;6650;150
6907;9780373285242;Dream Makers: Untamed / Less of a Stranger;Nora Roberts;411;2006-09-19;3,8;989;32
6908;9780515140774;Spellbound (Once Upon  #1);Nora Roberts;96;2005-09-27;3,8;6798;162
6909;9780399153723;Angels Fall;Nora Roberts;391;2006-07-11;4,0;37314;1040
6910;9780399147319;True Betrayals / Montana Sky / Sanctuary;Nora Roberts;852;2001-06-04;4,4;667;5
6911;9780373285389;First Impressions;Nora Roberts;301;2006-10-24;3,73;5641;315
6912;9780553589474;Public Secrets;Nora Roberts;481;2012-03-27;4,03;11035;418
6913;9780373285136;The MacGregors: Serena & Caine (The MacGregors  #1 -2);Nora Roberts;441;2006-01-28;4,09;11070;150
6914;9780373285235;The MacGregors: Alan & Grant (The MacGregors  #3-4);Nora Roberts;458;2006-06-16;4,11;9423;90
6915;9780385335676;Kissing in Manhattan;David Schickler;288;2002-08-27;3,61;2665;304
6916;9780691037387;Making Democracy Work: Civic Traditions in Modern Italy;Robert D. Putnam;280;1994-06-16;3,83;604;34
6917;9780131541955;The Comparative Study of Political Elites;Robert D. Putnam;246;1976-01-01;3,75;4;1
6918;9780393057829;A Random Walk Down Wall Street;Burton G. Malkiel;416;2003-04-17;4,1;50;6
6919;9780393019995;A Random Walk Down Wall Street;Burton G. Malkiel;377;1985-01-01;4,1;9;1
6920;9781401204587;Identity Crisis;Brad Meltzer;288;2006-08-16;4,04;18289;614
6921;9781401204518;Superman: Secret Identity;Kurt Busiek;208;2013-04-09;4,24;6368;307
6922;9780737303940;The Dissociative Identity Disorder Sourcebook;Deborah Bray Haddock;336;2001-08-21;4,16;276;19
6923;9780689873744;Double Identity;Margaret Peterson Haddix;224;2005-10-01;4,02;276;52
6924;9780060175641;Identity;Milan Kundera;176;1998-04-21;3,68;266;31
6925;9780060928414;Slowness;Milan Kundera;156;1997-04-11;3,66;9760;402
6926;9780571206926;Laughable Loves;Milan Kundera;287;2000-08-21;3,87;14928;470
6927;9781400078394;Learned Optimism: How to Change Your Mind and Your Life;Martin E.P. Seligman;319;2006-01-03;4,0;13891;628
6928;9780142404157;Homer Price;Robert McCloskey;149;2005-12-29;4,08;279;24
6929;9780465024964;The Classical World: An Epic History from Homer to Hadrian;Robin Lane Fox;672;2006-10-09;3,91;1315;69
6930;9780689868832;The Children's Homer: The Adventures of Odysseus and the Tale of Troy;Padraic Colum;256;2004-07-01;3,9;109;15
6931;9780440237167;The Coalwood Way: A Memoir  (Coalwood  #2);Homer Hickam;400;2001-09-04;4,14;1193;103
6932;9780807014271;Man's Search for Meaning;Viktor E. Frankl;165;2006-06-01;4,36;3023;303
6933;9781844132393;Man's Search for Meaning;Viktor E. Frankl;160;2004-05-06;4,36;1959;198
6934;9780886875534;Good Grief: The Story of Charles M. Schulz;Rheta Grimsley Johnson;256;1989-12-31;3,72;20;1
6935;9780375714634;Peanuts: The Art of Charles M. Schulz;Chip Kidd;368;2003-10-28;4,38;592;39
6936;9788120818941;Autobiography of a Yogi;Paramahansa Yogananda;516;2002-10-01;4,23;9;0
6937;9780345461360;To the Last Man: A Novel of the First World War;Jeff Shaara;636;2005-08-30;4,22;4809;315
6938;9780060954833;African Nights;Kuki Gallmann;336;2000-03-22;3,8;313;19
6939;9780743486224;Angels & Demons (Robert Langdon  #1);Dan Brown;572;2003-07-28;3,89;5738;630
6940;9780800730307;Letters of St. Augustine;Augustine of Hippo;255;1992-03-01;4,36;20;2
6941;9780226025971;Love and Saint Augustine;Hannah Arendt;254;1998-04-26;3,91;95;10
6942;9781584794943;Healthy Cooking for IBS: 100 Delicious Recipes to Keep You Symptom-Free;Sophie Braimbridge;144;2006-04-01;2,62;2;1
6943;9780373895885;Me vs. Me;Sarah Mlynowski;311;2006-07-25;3,67;1725;120
6944;9780385733878;Spells & Sleeping Bags (Magic in Manhattan  #3);Sarah Mlynowski;324;2007-06-26;4,05;4370;221
6945;9780385731843;Bras & Broomsticks (Magic in Manhattan  #1);Sarah Mlynowski;310;2006-06-13;3,73;8709;534
6946;9780778300854;Monkey Business;Sarah Mlynowski;400;2005-04-15;3,67;1;0
6947;9780385731829;Frogs & French Kisses (Magic in Manhattan  #2);Sarah Mlynowski;288;2006-06-13;3,97;4863;221
6948;9780156119078;Big Anthony and the Magic Ring;Tomie dePaola;32;1979-04-25;4,1;462;35
6949;9780823410774;Patrick: Patron Saint of Ireland;Tomie dePaola;30;1992-01-01;4,08;89;5
6950;9781569471036;The Rattle-Rat;Janwillem van de Wetering;293;2003-07-01;3,97;174;8
6951;9781569471241;Robert Van Gulik: His Life His Work;Janwillem van de Wetering;149;1998-07-01;3,57;39;5
6952;9781591162063;Revolutionary Girl Utena  Vol. 2: To Plant;Chiho Saito;200;2004-03-10;4,0;1292;20
6953;9781591162070;Revolutionary Girl Utena  Vol. 3: To Sprout;Chiho Saito;200;2004-02-04;4,05;1153;16
6954;9781591160687;Revolutionary Girl Utena  Vol. 4: To Bud;Chiho Saito;192;2003-10-01;4,06;1060;18
6955;9781591161455;Revolutionary Girl Utena  Vol. 5: To Blossom;Chiho Saito;168;2004-03-03;4,02;1017;33
6956;9780140445206;The Enneads;Plotinus;688;1991-06-27;4,06;2481;35
6957;9780674994881;Ennead IV (Plotinus IV);Plotinus;464;1984-01-01;4,52;27;3
6958;9780156075008;Anaximander  Heraclitus  Parmenides  Plotinus  Lao-Tzu  Nagarjuna (from Great Philosophers 2);Karl Jaspers;138;1974-10-23;3,92;42;4
6959;9781565846647;The Cultural Cold War: The CIA and the World of Arts and Letters;Frances Stonor Saunders;509;2001-04-01;4,01;13;1
6960;9780345428301;Trust Fund;Stephen W. Frey;358;2002-01-02;3,72;607;22
6961;9780345457615;The Chairman (Christian Gillette  #1);Stephen W. Frey;415;2005-12-27;3,98;2173;89
6962;9780635034700;The Mystery of the Ancient Pyramid: Cairo  Egypt (Around the World in 80 Mysteries);Carole Marsh;128;2006-03-06;3,61;27;4
6963;710430023622;The Mystery in the Rocky Mountains;Carole Marsh;145;2001-04-01;3,73;34;6
6964;710430023639;The Mystery on the Mighty Mississippi;Carole Marsh;142;2001-04-01;3,5;26;1
6965;9780761542919;Medal of Honor: Rising Sun (Prima's Official Strategy Guide);Mark Cohen;96;2003-11-18;3,67;3;1
6966;9780761555483;The Elder Scrolls IV: Oblivion -- Revised & Expanded (Xbox360  PC) (Prima Official Game Guide);Peter Olafson;432;2007-09-10;4,29;57;4
6967;9780553803525;Social Intelligence: The New Science of Human Relationships;Daniel Goleman;403;2006-09-26;3,98;10327;318
6968;9781593979744;The Power of Truth: A Leading with Emotional Intelligence Conversation with Warren Bennis;Daniel Goleman;0;2006-11-14;3,82;11;2
6969;9780553804911;Emotional Intelligence: Why It Can Matter More Than IQ;Daniel Goleman;384;2006-09-26;4,01;63501;1663
6970;9781590300107;Healing Emotions: Conversations with the Dalai Lama on Mindfulness  Emotions  and Health;Daniel Goleman;288;2003-01-14;4,04;302;8
6971;9780025006058;The MacMillan Bible Atlas;Yohanan Aharoni;215;1993-03-17;4,32;14;2
6972;9780375760525;Paris 1919: Six Months that Changed the World;Margaret MacMillan;570;2003-09-09;4,08;9679;640
6973;9780674992023;Scripta Minora: Hiero/Agesilaus/Constitution of the Lacedaemonians/Ways & Means/Cavalry Commander/Art of Horsemanship/On Hunting/Constitution of the Athenians;Xenophon;576;1925-01-01;4,0;19;2
6974;9781844450930;Primary English: Knowledge and Understanding;Jane Medwell;218;2007-04-01;3,87;1;0
6975;9780075536550;The Philosophy of Hegel;Georg Wilhelm Friedrich Hegel;552;1965-02-01;3,37;15;4
6976;9783787307678;Wissenschaft der Logik: Die Lehre Vom Begriff (1816);Georg Wilhelm Friedrich Hegel;337;1994-01-01;4,78;0;0
6977;9780452009301;Existentialism from Dostoevsky to Sartre;Walter Kaufmann;384;1975-03-01;4,08;5011;88
6978;9780805210477;Anti-Semite and Jew: An Exploration of the Etiology of Hate;Jean-Paul Sartre;176;1995-04-25;3,8;631;60
6979;9780596527334;CSS: The Definitive Guide;Eric A. Meyer;518;2006-11-01;4,0;961;29
6980;9781421513799;Fullmetal Alchemist  Vol. 14 (Fullmetal Alchemist  #14);Hiromu Arakawa;192;2007-08-14;4,59;8634;118
6981;9781421502229;Fullmetal Alchemist: The Abducted Alchemist (Fullmetal Alchemist  #2);Makoto Inoue;240;2006-01-10;4,57;2779;19
6982;9781421508399;Fullmetal Alchemist  Vol. 12 (Fullmetal Alchemist  #12);Hiromu Arakawa;192;2007-03-20;4,6;7480;119
6983;752063326664;Programming in C;Stephen G. Kochan;576;2004-07-08;3,96;222;16
6984;9780131492028;Java: An Introduction to Problem Solving and Programming;Walter J. Savitch;1060;2004-12-01;3,85;26;1
6985;9780321468932;Absolute C++;Walter J. Savitch;943;2007-03-01;3,83;36;4
6986;9780801882678;The Odyssey;Homer;472;2005-08-23;3,76;57;2
6987;9780801868542;The Odyssey (New Translations from Antiquity);Homer;472;2004-04-08;3,76;6;1
6988;9780062700254;Bulfinch's Mythology;Thomas Bulfinch;768;1991-12-24;4,1;66;7
6989;9781593854461;Teaching Reading Comprehension to Students with Learning Difficulties;Janette K. Klingner;178;2007-04-12;3,79;23;1
6990;9780141187198;Seven Gothic Tales;Isak Dinesen;368;2002-10-31;3,93;85;12
6991;9780679736400;Last Tales;Isak Dinesen;352;1991-12-03;4,11;332;22
6992;9780312135256;Isak Dinesen: The Life of a Storyteller;Judith Thurman;512;1995-10-15;4,06;1041;53
6993;9780679724759;Out of Africa / Shadows on the Grass;Isak Dinesen;462;1989-10-23;4,24;9298;312
6994;9780226153117;Letters from Africa  1914-1931;Isak Dinesen;516;1984-04-15;4,21;489;12
6995;9780439272001;Witness;Karen Hesse;161;2003-03-01;3,72;4667;703
6996;9780439435406;The Cats In Krasinski Square;Karen Hesse;32;2004-08-01;4,13;955;195
6997;9780590897983;The Music of Dolphins;Karen Hesse;181;1998-02-01;3,82;6015;566
6998;9780156012096;Verbatim: From the bawdy to the sublime  the best writing on language for word lovers  grammar mavens  and armchair linguists;Erin McKean;372;2001-10-17;3,59;124;17
6999;9780385340229;Sisters;Danielle Steel;341;2007-02-13;3,85;15495;1037
7000;9780552145022;The Long Road Home;Danielle Steel;476;1999-03-04;4,0;7407;297
7001;9780393093124;Three Plays of Euripides: Alcestis/Medea/The Bacchae;Euripides;144;1974-02-17;3,97;243;23
7002;9780787983505;Leadership Challenge;James M. Kouzes;50;2004-12-01;4,05;0;0
7003;9780141310695;The Kestrel (Westmark  #2);Lloyd Alexander;244;2002-06-10;3,98;2742;104
7004;9780441014224;The God in the Moon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #1);Richard A. Knaak;297;2006-07-25;3,74;59;4
7005;9780595092147;Firedrake (Dragonrealm #1);Richard A. Knaak;276;2000-06-01;3,78;638;39
7006;9780786931965;Night of Blood (Dragonlance: The Minotaur Wars  #1);Richard A. Knaak;372;2004-02-01;3,91;1307;22
7007;9780441014453;The Eye of Charon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #2);Richard A. Knaak;288;2006-09-26;3,91;43;4
7008;9780595092086;Children of the Drake (Dragonrealm: Origins  #2);Richard A. Knaak;292;2000-05-01;3,88;167;8
7009;9780452156616;Sleeping Beauty Trilogy (Sleeping Beauty  #1-3);A.N. Roquelaure;724;1999-05-01;3,99;10891;230
7010;9780452266629;Beauty's Punishment;A.N. Roquelaure;233;1984-06-01;3,62;426;30
7011;9780786809295;The Land of the Dead (Tales from the Odyssey  #2);Mary Pope Osborne;112;2003-09-01;3,97;400;32
7012;9780786809288;The One-Eyed Giant (Tales from the Odyssey  #1);Mary Pope Osborne;112;2003-09-01;3,88;782;84
7013;9780375832215;Tsunamis and Other Natural Disasters (Magic Tree House Research Guide  #15);Mary Pope Osborne;128;2007-02-27;4,03;466;15
7014;9780786809943;The Final Battle (Tales from the Odyssey  #6);Mary Pope Osborne;112;2005-07-01;4,08;263;17
7015;9780375823787;Ancient Greece and the Olympics (Magic Tree House Research Guide  #10);Mary Pope Osborne;119;2004-06-08;4,05;1073;30
7016;9780375832208;Ancient Rome and Pompeii (Magic Tree House Research Guide  #14);Mary Pope Osborne;128;2006-04-25;4,07;659;30
7017;9781400091058;Haunted Castle on Hallows Eve (Magic Tree House #30);Mary Pope Osborne;0;2004-08-10;4,04;7;0
7018;9780679890706;Earthquake in the Early Morning (Magic Tree House  #24);Mary Pope Osborne;96;2010-06-15;3,94;6816;227
7019;9780871401526;E.E. Cummings: Complete Poems 1904-1962 (Revised  Corrected  and Expanded Edition);E.E. Cummings;1136;1994-04-17;4,35;19542;184
7020;9780871401540;Selected Poems;E.E. Cummings;208;2007-08-17;4,22;12438;264
7021;9780871401656;Tulips & Chimneys;E.E. Cummings;208;1996-08-17;4,38;1206;49
7022;9781423601746;Kokopelli: The Magic  Mirth  and Mischief of an Ancient Symbol;Dennis Slifer;240;2007-04-05;3,69;19;4
7023;9780345480057;The Coal Tattoo;Silas House;368;2005-08-30;4,04;1789;144
7024;9780345450692;Clay's Quilt;Silas House;320;2002-02-26;3,95;2685;235
7025;9780805427318;Things Pondered: From the Heart of a Lesser Woman;Beth Moore;160;2004-04-01;4,09;283;24
7026;9780439569729;Scholastic Success with 4th Grade Workbook;Terry Cooper;416;2003-06-01;4,12;8;0
7027;9780785113447;The Punisher  Vol. 6: Confederacy of Dunces;Garth Ennis;144;2004-04-01;4,0;289;11
7028;9780373802357;Thunderbird Falls  (Walker Papers  #2);C.E. Murphy;408;2006-04-25;3,85;5729;256
7029;9780373802722;Coyote Dreams (Walker Papers  #3);C.E. Murphy;408;2007-04-24;4,0;5810;200
7030;9780816636709;Savage Anamoly: The Power of Spinoza’s Metaphysics and Politics;Antonio Negri;304;1999-12-01;3,96;49;3
7031;9780826479310;Time for Revolution;Antonio Negri;271;2005-05-01;3,7;45;2
7032;9780745323374;The Philosophy of Antonio Negri  Volume One: Resistance in Practice;Timothy S. Murphy;265;2005-07-20;4,12;8;1
7033;9780743270373;Act of Treason (Mitch Rapp  #9);Vince Flynn;432;2006-10-10;4,29;38757;826
7034;9781416542261;Act of Treason (Mitch Rapp  #9);Vince Flynn;467;2007-08-28;4,29;768;47
7035;9781585479009;Act of Treason (Mitch Rapp  #9);Vince Flynn;462;2007-01-01;4,29;10;1
7036;9781595322357;President Dad  Volume 2;Ju-Yeon Rhim;168;2005-03-08;3,49;73;1
7037;9781592402687;Game of Shadows: Barry Bonds  BALCO  and the Steroids Scandal that Rocked Professional Sports;Mark Fainaru-Wada;348;2007-03-01;3,81;165;24
7038;9781932234220;Dark Water;Kōji Suzuki;279;2006-06-06;3,61;2433;146
7039;9780380794782;Dark Water's Embrace (Mictlan  #1);Stephen Leigh;331;1998-03-01;3,77;78;10
7040;9780373274482;In Dark Waters;Mary Burton;249;2005-06-28;3,81;95;10
7041;9781572930506;Oswald Chambers  Abandoned to God: The Life Story of the Author of My Utmost for His Highest;David McCasland;352;1998-09-01;4,45;1372;87
7042;9780871239327;Mandie and the Abandoned Mine (Mandie  #8);Lois Gladys Leppard;160;1987-05-01;3,96;1369;17
7043;9780312982010;Abandoned Prayers: The Incredible True Story of Murder  Obsession and Amish Secrets;Gregg Olsen;399;2003-06-16;3,79;1458;98
7044;9780130887016;C++ Programmer's Notebook;Jim Keogh;528;2001-08-16;3,0;3;0
7045;9780679451211;The Sibley Field Guide to Birds of Western North America;David Allen Sibley;473;2003-04-29;4,69;730;36
7046;9780810982192;The National Geographic Society: 100 Years of Adventure & Discovery;C.D.B. Bryan;528;2001-09-01;4,11;10;2
7047;9780792270324;Park Profiles: Grand Canyon Country (Park Profiles);National Geographic Society;200;2010-01-19;4,1;10;1
7048;9780870448294;Canada's Incredible Coasts;Donald J. Crump;199;1993-11-01;3,71;7;0
7049;9781598163179;Shout Out Loud! 2;Satosumi Takaguchi;194;2006-08-01;3,95;91;2
7050;9781598163209;Shout Out Loud! 5;Satosumi Takaguchi;192;2007-10-01;3,93;83;6
7051;9781569708125;Can't Win With You 1;Satosumi Takaguchi;176;2007-08-15;3,57;77;3
7052;9784048526456;叫んでやるぜ! (1) (あすかコミックスCL-DX);Satosumi Takaguchi;165;1996-02-01;3,68;2;0
7053;9784048527859;叫んでやるぜ! (2) (ASUKA COMICS CL-DX);Satosumi Takaguchi;178;1997-03-01;3,95;2;0
7054;9780783502502;Soups;Norman Kolpas;108;1999-05-24;3,88;17;2
7055;9780783502007;Pies and Tarts;Chuck Williams;108;1999-05-24;3,82;18;2
7056;9780674295032;The Fate of Reason: German Philosophy from Kant to Fichte;Frederick C. Beiser;410;1993-10-15;4,52;118;8
7057;9780689870163;Michael's Golden Rules;Deloris Jordan;32;2007-01-23;3,93;83;22
7058;9780671417017;Confessions of an Actor;Laurence Olivier;348;1982-12-31;3,69;279;19
7059;9780140289237;For Lust of Knowing: The Orientalists and Their Enemies;Robert Irwin;304;2007-01-25;3,72;10;0
7060;9781585672172;The Arabian Nightmare;Robert Irwin;282;2002-04-30;3,84;411;32
7061;9780224074537;The Plot Against America;Philip Roth;391;2004-09-30;3,77;337;47
7062;9780060854942;Continental Drift;Russell Banks;408;2007-03-13;3,87;2824;299
7063;9780060957353;The Darling;Russell Banks;400;2005-10-11;3,78;1986;246
7064;9782742722808;Affliction;Russell Banks;486;1999-12-29;3,99;63;1
7065;9780060927196;Success Stories;Russell Banks;192;1996-04-26;3,72;155;11
7066;9780060930868;Cloudsplitter;Russell Banks;758;1999-01-27;3,91;3618;425
7067;9780375726569;A Multitude of Sins;Richard Ford;304;2003-02-04;3,75;1183;74
7068;9780143039709;The Custom of the Country;Edith Wharton;370;2006-09-28;4,03;7717;742
7069;9780486451404;Quicksand;Nella Larsen;125;2006-09-15;3,68;181;29
7070;9780060776534;Their Eyes Were Watching God;Zora Neale Hurston;7;2004-11-23;3,91;421;99
7071;9780940450837;Novels and Stories;Zora Neale Hurston;1054;1995-02-01;4,37;564;30
7072;9780915144228;Plato on Knowledge and Reality;Nicholas P. White;272;1976-06-15;3,67;6;0
7073;9780915144921;A Companion to Plato's Republic;Nicholas P. White;288;1979-05-01;3,67;25;0
7074;9780143035411;Something Rotten (Thursday Next  #4);Jasper Fforde;385;2005-07-26;4,16;27382;1138
7075;9780142004036;Lost in a Good Book (Thursday Next  #2);Jasper Fforde;399;2004-02-04;4,14;42454;2156
7076;9780143034353;The Well of Lost Plots (Thursday Next #3);Jasper Fforde;375;2004-08-03;4,1;31540;1434
7077;9780670038718;First Among Sequels (Thursday Next  #5);Jasper Fforde;363;2007-07-24;4,02;20630;1310
7078;9780142001806;The Eyre Affair (Thursday Next  #1);Jasper Fforde;374;2003-02-25;3,91;97343;8068
7079;9780340733561;The Eyre Affair (Thursday Next  #1);Jasper Fforde;373;2001-07-19;3,91;3689;566
7080;9781582294018;Chop Shop (Bug Man  #2);Tim Downs;352;2004-07-01;4,22;923;75
7081;9781582293080;Shoofly Pie (Bug Man  #1);Tim Downs;371;2003-07-01;4,18;1425;130
